StartDate;EndDate;Progress;Duration (in seconds);Finished;ResponseId;Q1;Q2;Q3;Q4
19.04.24 03:36;19.04.24 03:36;100;28;TRUE;R_4dX4f6MF0KOqLqj;Never;None;Never;Does not apply
19.04.24 03:40;19.04.24 03:40;100;28;TRUE;R_1jyiBet4qFpXvNf;Never;None;Never;Does not apply
19.04.24 03:49;19.04.24 03:50;100;60;TRUE;R_7aYPaIZcz7VJAVr;Rarely;Ignorance;Never;Does not apply
19.04.24 03:57;19.04.24 03:58;100;27;TRUE;R_24kPVHUNrnZoLlP;Often;Ignorance;Rarely;Ignorance
19.04.24 04:57;19.04.24 04:58;100;29;TRUE;R_2r8lcNfK3wduPDY;Rarely;Ignorance;Never;Does not apply
19.04.24 05:21;19.04.24 05:22;100;27;TRUE;R_2WHKfxhs3mmCv4j;Never;None;Never;Does not apply
20.04.24 02:17;20.04.24 02:19;100;164;TRUE;R_2CT0prkGlzUq48M;Never;None;Never;Does not apply
21.04.24 03:32;21.04.24 03:33;100;47;TRUE;R_3hSF4293YnCACHb;Never;None;Never;Does not apply
22.04.24 08:53;22.04.24 08:53;100;45;TRUE;R_1XM0m4QLvwlgOvD;Rarely;Ignorance;Never;Does not apply
22.04.24 12:13;22.04.24 12:13;100;18;TRUE;R_7j6NPevzPMkJAEO;Rarely;Ignorance;Rarely;Ignorance